Unnamed: 0,id,tipo,titulo,calle,barrio,distrito,ciudad,area,precio,precio_por_metro,caracteristicas,habitaciones,baños,referencia,anunciante,nombre_anunciante,ultima_actualizacion,tlf,url
2136,103013456,venta,"Piso en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",279.940€,3.076 €/m²,"['91 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Planta 2ª exterior', 'Con ascensor']",2 habitaciones,2 baños,Esc 4 2ºB,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013456/
2137,103013021,venta,"Piso en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",298.190€,2.549 €/m²,"['117 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Planta 2ª exterior', 'Con ascensor']",3 habitaciones,2 baños,Esc 1 2ºA,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013021/
2138,103013377,venta,"Piso en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",342.365€,2.806 €/m²,"['122 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Planta 1ª exterior', 'Con ascensor']",3 habitaciones,2 baños,Esc 2 1ºC,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013377/
2139,103013367,venta,"Piso en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",214.775€,2.497 €/m²,"['86 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Bajo exterior', 'Con ascensor']",2 habitaciones,2 baños,Esc 2 Bajo B,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013367/
2140,103013349,venta,"Piso en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",349.610€,3.067 €/m²,"['114 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Planta 2ª exterior', 'Con ascensor']",2 habitaciones,2 baños,Esc 2 2ºA,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013349/
2141,103012991,venta,"Piso en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",220.000€,2.292 €/m²,"['96 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Bajo exterior', 'Con ascensor']",2 habitaciones,2 baños,Esc 1 Bajo F,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103012991/
2142,104151132,venta,Piso en venta en La Flota,Barrio La Flota,Distrito Norte,Murcia,"Área de Murcia, Murcia",,260.000€,1.413 €/m²,"['184 m² construidos, 105 m² útiles', '4 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 2013', 'No dispone de calefacción', 'Bajo exterior', 'Con ascensor']",4 habitaciones,2 baños,RVC-0000235,Profesional,Remax Victory Consultance,Anuncio actualizado el 8 de agosto,34868350761,https://www.idealista.com/inmueble/104151132/
2143,103013503,venta,"Piso en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",228.930€,2.267 €/m²,"['101 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Planta 1ª exterior', 'Con ascensor']",2 habitaciones,2 baños,Esc 5 1ºA,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013503/
2144,103013527,venta,"Ático en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",468.950€,2.825 €/m²,"['166 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Promoción de obra nueva', ' exterior', 'Con ascensor']",4 habitaciones,3 baños,Esc 5 Ático A,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013527/
2145,103013152,venta,"Ático en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",480.155€,3.098 €/m²,"['155 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Promoción de obra nueva', ' exterior', 'Con ascensor']",4 habitaciones,3 baños,Esc 1 Ático D,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013152/
2146,103013202,venta,"Ático en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",449.750€,2.811 €/m²,"['160 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Promoción de obra nueva', ' exterior', 'Con ascensor']",4 habitaciones,3 baños,Esc 1 Ático C,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013202/
2147,104351366,venta,Dúplex en venta en San Benito-Patiño,Barrio San Benito-Patiño,Distrito Pedanías Este,Murcia,"Área de Murcia, Murcia",,329.900€,991 €/m²,"['333 m² construidos', '5 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1996', 'Calefacción individual', 'Bajo exterior', 'Sin ascensor']",5 habitaciones,2 baños,0926RO,Profesional,Inmobiliaria Alix,Anuncio actualizado el 20 de junio,34868350579,https://www.idealista.com/inmueble/104351366/
2148,103013127,venta,"Ático en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",439.805€,2.801 €/m²,"['157 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Promoción de obra nueva', ' exterior', 'Con ascensor']",4 habitaciones,3 baños,Esc 1 Ático A,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013127/
2149,103013372,venta,"Ático en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",486.830€,3.357 €/m²,"['145 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Promoción de obra nueva', ' exterior', 'Con ascensor']",4 habitaciones,3 baños,Esc 2 Ático C,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013372/
2150,103013454,venta,"Ático en venta en calle Santa Cecilia, 24","Calle Santa Cecilia, 24",Zona Juan de Borbón,Norte,Murcia,"
Murcia, Murcia
",596.280€,3.258 €/m²,"['183 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Promoción de obra nueva', ' exterior', 'Con ascensor']",4 habitaciones,3 baños,Esc 3 Ático B,Profesional,Open Club Inmogestion,Anuncio actualizado el 18 de enero,34868355616,https://www.idealista.com/inmueble/103013454/
2151,92676557,venta,Ático en venta en Puente Tocinos,Barrio Puente Tocinos,Distrito Pedanías Este,Murcia,"Área de Murcia, Murcia",,170.000€,895 €/m²,"['190 m² construidos', '4 habitaciones', '3 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Calefacción central', 'Planta 3ª exterior', 'Con ascensor']",4 habitaciones,3 baños,2841-3033,Profesional,Caballero Inmobiliaria,Anuncio actualizado el 21 de julio,34868350708,https://www.idealista.com/inmueble/92676557/
2152,104532274,venta,Piso en venta en calle Gran Vía Alfonso X el Sabio,Calle Gran Vía Alfonso X el Sabio,La Fama,Centro,Murcia,"
Murcia, Murcia
",620.000€,5.167 €/m²,"['120 m² construidos, 116 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 3ª exterior', 'Con ascensor']",3 habitaciones,2 baños,22126,Profesional,The Simple Rent,Anuncio actualizado el 23 de agosto,34868355585,https://www.idealista.com/inmueble/104532274/
2153,96215001,venta,Chalet adosado en venta en calle Parras,Calle Parras,El Palmar,Pedanías Oeste,Murcia,"
Murcia, Murcia
",62.000€,569 €/m²,"[' Chalet adosado', '109 m² construidos', '3 habitaciones', '1 baño', 'Segunda mano/para reformar', 'Construido en 1974']",109 m² construidos,3 habitaciones,9448-12,Profesional,VIVANTIAL,Anuncio actualizado el 9 de agosto,34919387825,https://www.idealista.com/inmueble/96215001/
2154,105704013,venta,Chalet adosado en venta en Jerónimo y Avileses,Barrio Jerónimo y Avileses,Distrito Campo de Murcia,Murcia,"Área de Murcia, Murcia",,239.000€,1.912 €/m²,"[' Chalet adosado', '1 planta', '125 m² construidos, 107 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Orientación sur', 'Construido en 2024', 'Calefacción central']",1 planta,"125 m² construidos, 107 m² útiles",A4848,Profesional,Alegria International,Anuncio actualizado el 28 de agosto,34865440689,https://www.idealista.com/inmueble/105704013/
